ID	y1	y2
8667053067_R01C01	0.61334	0.61334
8667053067_R02C01	0.68283	0.68283
8667053067_R03C01	0.44586	0.44586
8667053067_R04C01	0.68876	0.68876
8667053067_R05C01	0.56589	0.56589
8667053067_R06C01	0.4911	0.4911
8667053067_R01C02	0.47878	0.47878
8667053067_R02C02	0.52935	0.52935
8667053067_R03C02	0.6076	0.6076
8667053067_R04C02	0.38317	0.38317
8667053067_R05C02	0.56198	0.56198
8667053067_R06C02	0.60665	0.60665
8667053052_R01C01	0.47566	0.47566
8667053052_R02C01	0.53268	0.53268
8667053052_R03C01	0.38268	0.38268
8667053052_R04C01	0.44124	0.44124
8667053052_R05C01	0.48403	0.48403
8667053052_R06C01	0.61398	0.61398
8667053052_R01C02	0.58604	0.58604
8667053052_R02C02	0.43267	0.43267
8667053052_R03C02	0.32122	0.32122
8667053052_R04C02	0.62545	0.62545
8667053052_R05C02	0.61695	0.61695
8667053052_R06C02	0.70946	0.70946
8667053086_R01C01	0.86309	0.86309
8667053086_R02C01	0.50789	0.50789
8667053086_R03C01	0.51351	0.51351
8667053086_R04C01	0.82051	0.82051
8667053086_R05C01	0.60406	0.60406
8667053086_R06C01	0.49729	0.49729
8667053086_R01C02	0.4953	0.4953
8667053086_R02C02	0.82498	0.82498
8667053086_R03C02	0.90327	0.90327
8667053086_R04C02	0.62048	0.62048
8667053086_R05C02	0.57193	0.57193
8667053086_R06C02	0.3378	0.3378
8667053113_R01C01	0.27235	0.27235
8667053113_R02C01	0.52696	0.52696
8667053113_R03C01	0.4466	0.4466
8667053113_R04C01	0.53034	0.53034
8667053113_R05C01	0.69966	0.69966
8667053113_R06C01	0.40757	0.40757
8667053113_R01C02	0.56988	0.56988
8667053113_R02C02	0.61746	0.61746
8667053113_R03C02	0.525	0.525
8667053113_R04C02	0.51042	0.51042
8667053113_R05C02	0.44897	0.44897
8667053113_R06C02	0.60444	0.60444
8667053042_R01C01	0.47955	0.47955
8667053042_R02C01	0.82723	0.82723
8667053042_R03C01	0.54183	0.54183
8667053042_R04C01	0.52114	0.52114
8667053042_R05C01	0.66078	0.66078
8667053042_R06C01	0.42139	0.42139
8667053042_R01C02	0.46769	0.46769
8667053042_R02C02	0.2533	0.2533
8667053042_R03C02	0.58267	0.58267
8667053042_R04C02	0.59985	0.59985
8667053042_R05C02	0.63034	0.63034
8667053042_R06C02	0.55749	0.55749
8667053041_R01C01	0.58914	0.58914
8667053041_R02C01	0.62972	0.62972
8667053041_R03C01	0.51823	0.51823
8667053041_R04C01	0.67906	0.67906
8667053041_R05C01	0.67904	0.67904
8667053041_R06C01	0.56151	0.56151
8667053041_R01C02	0.67812	0.67812
8667053041_R02C02	0.55688	0.55688
8667053041_R03C02	0.74013	0.74013
8667053041_R04C02	0.48351	0.48351
8667053041_R05C02	0.47422	0.47422
8667053041_R06C02	0.44756	0.44756
8667053121_R01C01	0.60374	0.60374
8667053121_R02C01	0.38711	0.38711
8667053121_R03C01	0.59419	0.59419
8667053121_R04C01	0.54483	0.54483
8667053121_R05C01	0.5396	0.5396
8667053121_R06C01	0.19569	0.19569
8667053121_R01C02	0.55802	0.55802
8667053121_R02C02	0.37912	0.37912
8667053121_R03C02	0.67201	0.67201
8667053121_R04C02	0.78027	0.78027
8667053121_R05C02	0.55117	0.55117
8667053121_R06C02	0.44399	0.44399
8667053133_R01C01	0.62806	0.62806
8667053133_R02C01	0.59632	0.59632
8667053133_R03C01	0.43412	0.43412
8667053133_R04C01	0.64157	0.64157
8667053133_R05C01	0.56591	0.56591
8667053133_R06C01	0.61892	0.61892
8667053133_R01C02	0.58887	0.58887
8667053133_R02C02	0.34587	0.34587
8667053133_R03C02	0.79293	0.79293
8667053133_R04C02	0.52451	0.52451
8667053133_R05C02	0.70347	0.70347
8667053133_R06C02	0.62685	0.62685
