LogReg:ID,chromosome,MAPINFO,p-values,q-values,intercept,beta,statistic,UCSC_RefGene_Name,Relation_to_UCSC_CpG_Island
cg17177602,1,1196457,8.66640548338e-05,0.0688112595381,3.28990650177,-8.50720214844,-3.92518234253,LOC100128842;UBE2J2,
cg11596239,1,2350059,0.000525633629877,0.208676551061,5.49359178543,-15.5296707153,-3.46734142303,,S_Shelf
cg07523753,1,2979582,0.00288698961958,0.764089919316,14.9686822891,-19.0132026672,-2.97952151299,FLJ42875,Island
cg04852972,1,1897728,0.00402480224147,0.798923244933,24.4528522491,-31.3837661743,-2.87621116638,KIAA1751,Island
cg15325070,1,2792704,0.00675056129694,0.868632671845,-6.05639743805,12.5428676605,2.70890522003,,
cg17839324,1,3123500,0.00697955628857,0.868632671845,11.047668457,-13.7247085571,-2.69781804085,PRDM16,
cg21643748,1,2850241,0.00877201743424,0.868632671845,2.41421318054,-7.01271772385,-2.62081384659,,N_Shore
cg13354934,1,1296093,0.00891914591193,0.868632671845,-1.87683594227,4.3683924675,2.61513781548,,
cg04886783,1,1852216,0.00989252608269,0.868632671845,-14.5164728165,17.9914150238,2.57956361771,TMEM52,S_Shore
cg07946633,1,2984245,0.0122072240338,0.868632671845,-7.91103076935,10.2210874557,2.50609660149,PRDM16;FLJ42875,Island
cg00040588,1,1290712,0.0138426264748,0.868632671845,-7.46111059189,10.5214776993,2.46132159233,MXRA8,Island
cg07247405,1,2484626,0.0145394783467,0.868632671845,5.00495386124,-10.052148819,-2.44365119934,LOC115110,
cg24592500,1,2863801,0.0180649869144,0.868632671845,-19.5101547241,27.2864761353,2.36428332329,,
cg20816361,1,2467100,0.0192938819528,0.868632671845,-6.08255290985,8.44795036316,2.33980369568,,Island
cg21271945,1,2080081,0.0266532506794,0.868632671845,16.6714687347,-21.1090354919,-2.21655893326,PRKCZ,N_Shelf
cg13384949,1,2383501,0.027342222631,0.868632671845,2.23019337654,-11.2048864365,-2.20659708977,,
cg16394551,1,3230357,0.0275565925986,0.868632671845,-9.34200000763,15.945640564,2.20354175568,PRDM16,
cg00373616,1,2434487,0.0276993960142,0.868632671845,7.08157062531,-9.56744384766,-2.20151758194,PLCH2,N_Shore
cg06784691,1,2245988,0.0287489183247,0.868632671845,-3.30937147141,15.033747673,2.1869122982,,Island
cg02840585,1,2090953,0.0319319926202,0.868632671845,-4.64247512817,8.65089988708,2.14526081085,PRKCZ,
cg03399754,1,2318795,0.0332783348858,0.868632671845,-2.28600025177,5.62523603439,2.12870907784,MORN1,N_Shelf
cg15819352,1,1845940,0.0350515693426,0.868632671845,2.75805020332,-10.6384553909,-2.10776209831,CALML6,
cg03975652,1,1559155,0.0353599339724,0.868632671845,-21.4543304443,28.0299873352,2.10421228409,MIB2,Island
cg16735509,1,2023157,0.0357670933008,0.868632671845,-9.72079372406,12.6822404861,2.09956526756,PRKCZ,N_Shelf
cg21815220,1,1150410,0.03607769683,0.868632671845,-12.6609239578,18.1593418121,2.09605073929,TNFRSF4,S_Shore
cg26785499,1,2820433,0.0371711999178,0.868632671845,12.696685791,-17.4577693939,-2.08387875557,,
cg06520508,1,1261347,0.0375878885388,0.868632671845,-8.29505157471,15.503115654,2.07932066917,CPSF3L;GLTPD1,N_Shore
cg21776599,1,1830693,0.0378210097551,0.868632671845,9.16292381287,-12.0788803101,-2.07678937912,,
cg17827148,1,2820665,0.0416569560766,0.868632671845,-2.87258982658,8.9980840683,2.0369310379,,
cg00581154,1,3123695,0.0427444241941,0.868632671845,-6.79318666458,12.0058479309,2.02619862556,PRDM16,
cg09612202,1,1476661,0.043045990169,0.868632671845,4.06588792801,-5.85490512848,-2.02326345444,C1orf70,Island
cg26430560,1,1905618,0.0460392870009,0.868632671845,1.97691011429,-8.43892383575,-1.99503290653,KIAA1751,
cg04118472,1,2125049,0.0471045970917,0.868632671845,6.51905441284,-12.1042613983,-1.98535847664,LOC100128003;C1orf86,N_Shore
cg18224942,1,1225781,0.0493919551373,0.868632671845,1.84167695045,-2.79841971397,-1.96519255638,SCNN1D,N_Shelf
cg03942086,1,3081481,0.0514075197279,0.868632671845,-3.1307849884,7.53143882751,1.94806218147,PRDM16,S_Shore
cg23682913,1,2080710,0.0524021610618,0.868632671845,3.82813477516,-6.82795190811,-1.93981516361,PRKCZ,N_Shore
cg17001566,1,2990490,0.0532961376011,0.868632671845,12.891201973,-16.7110328674,-1.93251371384,PRDM16,Island
cg13111532,1,1886543,0.0550443083048,0.868632671845,4.81308698654,-7.49617815018,-1.91852629185,KIAA1751,Island
