ID	CD4+	CD8+	mono	Bcells	NK	Nue	Eos
cg13400249	0.41954	0.89498	0.91245	0.90471	0.8992	0.907	0.91546
cg24683414	0.2724	0.076497	0.019512	0.027899	0.028712	0.020611	0.015794
cg03048488	0.8214	0.59319	0.85053	0.85749	0.31944	0.8615	0.87829
cg10206039	0.88978	0.79865	0.88984	0.89442	0.49638	0.87738	0.87732
cg01416168	0.92917	0.76953	0.91667	0.93175	0.4259	0.92651	0.94962
cg27175380	0.77667	0.80015	0.73682	0.071998	0.77205	0.53562	0.2147
cg00162673	0.85794	0.83649	0.59985	0.016539	0.73756	0.83201	0.81603
cg15361231	0.87781	0.90792	0.713	0.79435	0.88059	0.16469	0.20286
cg26341831	0.2059	0.065156	0.25886	0.057456	0.10292	0.72562	0.45564
cg26121730	0.33146	0.21216	0.081555	0.1261	0.18443	0.19635	0.18237
cg07236781	0.8624	0.38636	0.97318	0.78111	0.46775	0.95086	0.98424
cg17787876	0.89387	0.88014	0.28973	0.81539	0.7444	0.78253	0.61395
cg07313701	0.32473	0.1186	0.14897	0.49564	0.089532	0.16101	0.20121
cg05350607	0.83143	0.73339	0.76199	0.08392	0.67924	0.72092	0.75514
cg18770149	0.76514	0.78344	0.19931	0.86554	0.7031	0.8627	0.87545
cg21385052	0.9032	0.92931	0.49191	0.92625	0.89074	0.92649	0.9181
cg09993145	0.037493	0.0085811	0.083066	0.1192	0.024836	0.83036	0.88811
cg05567236	0.74434	0.84574	0.67739	0.64442	0.89408	0.66296	0.71035
cg07176692	0.15595	0.1873	0.399	0.24948	0.29362	0.55017	0.5397
cg24394336	0.79465	0.80929	0.24282	0.58525	0.75767	0.75648	0.85328
cg06364417	0.2901	0.17398	0.072525	0.066262	0.11106	0.085079	0.069781
cg23646375	0.88194	0.86548	0.77221	0.86795	0.84035	0.47665	0.54269
cg06759845	0.31345	0.1993	0.06194	0.081795	0.1429	0.10049	0.087043
cg22793142	0.91305	0.9043	0.83929	0.1573	0.90319	0.84431	0.82845
cg27058497	0.091895	0.053126	0.27075	0.13767	0.069995	0.66367	0.69248
cg14220262	0.79871	0.72636	0.73854	0.11074	0.71419	0.72536	0.70562
cg08708961	0.035249	0.031152	0.051799	0.034847	0.023515	0.32656	0.28266
cg11132913	0.8953	0.92928	0.5809	0.92116	0.8931	0.83901	0.81145
cg25104613	0.52504	0.67418	0.85275	0.80256	0.72243	0.86006	0.8706
cg05350800	0.64638	0.61296	0.66152	0.074704	0.60713	0.67052	0.64967
